reference,table_name
DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS,DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE
DB_UOC_PROD.DD_OD.STAGE_RECURSOS_APRENENTATGE_DIMAX,DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE
DB_UOC_PROD.DDP_DOCENCIA.T_COCO_PROD_TEMP_DUPLICATES_TEMP,DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.FACT_DADES_ACADEMIQUES_EVENTS
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.FACT_DADES_ACADEMIQUES_EVENTS
DB_UOC_PROD.DDP_DOCENCIA.FACT_DADES_ACADEMIQUES_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.FACT_DADES_ACADEMIQUES_EVENTS_AGG
DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO,DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES
DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_DIMAX,DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES
DB_UOC_PROD.DD_OD.DIM_ASSIGNATURA,DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES
DB_UOC_PROD.DD_OD.DIM_SEMESTRE,DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES
DB_UOC_PROD.DD_OD.DIM_SEMESTRE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.STG_DADESRA.AUTORS_ELEMENT_FORMACIO,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.STG_DADESRA.AUTORS_PRODUCTES_VERSIONS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.STG_DADESRA.AUTORS_VERSIO,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.STG_DADESRA.AUTORS_ELEMENT_FORMACIO,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.STG_DADESRA.AUTORS_PERIODE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_COCO_PRODUCT_MODULS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_COCO
DB_UOC_PROD.STG_DADESRA.DIMAX_RESOFITE_PATH,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_DIMAX
DB_UOC_PROD.STG_DADESRA.DIMAX_ITEM_DIMAX,DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_DIMAX
DB_UOC_PROD.STG_DADESRA.LIVE_EVENTS_CALIPER_DUMMY,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED_AUX
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED_AUX
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED_AUX,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED_AUX
DB_UOC_PROD.STG_DADESRA.AUTORS_PRODUCTE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.AUTORS_SUPORT_PRODUCTE_I18N,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.AUTORS_TIPUS_TRAMESA_I18N,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.AUTORS_IDIOMA_PRODUCTE_I18N,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.AUTORS_MODUL,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.DDP_DOCENCIA.T_COCO_PROD_TEMP_DUPLICATES_TEMP,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.DIMAX_V_RECURS,DB_UOC_PROD.DD_OD.STAGE_RECURSOS_APRENENTATGE_DIMAX
DB_UOC_PROD.STG_DADESRA.DIMAX_RECURS_INFO_EXTRA,DB_UOC_PROD.DD_OD.STAGE_RECURSOS_APRENENTATGE_DIMAX
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.POST_DADES_ACADEMIQUES,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_DADES_ACADEMIQUES_DIMAX,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.STG_DADESRA.AUTORS_PRODUCTES_VERSIONS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.STG_DADESRA.DIMAX_RESOFITE_PATH,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.ANALISIS_RESOURCES_CALIPER_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.DDP_DOCENCIA.ANALISIS_RESOURCES_CALIPER_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.DDP_DOCENCIA.ANALISIS_ASSIGNATURA_EVENTS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_RECURSOS_APRENENTATGE_COCO_PRODUCT_MODULS
DB_UOC_PROD.STG_DADESRA.DIMAX_V_RECURS,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
DB_UOC_PROD.DDP_DOCENCIA.DIM_RECURSOS_APRENENTATGE,DB_UOC_PROD.DDP_DOCENCIA.STAGE_LIVE_EVENTS_FLATENED
